name,category,description,price,image_url,is_active
Classic Red Rose Bouquet,Fresh Flower,Buket mawar merah klasik dengan wrap premium.,150000,https://id.pngtree.com/freepng/pink-tulip-flower-design_19944495.html,TRUE
Sunburst Sunflower Buket,Fresh Flower,Buket bunga matahari ceria cocok untuk wisuda.,120000,https://www.petitefleurid.com/collections/bouquets,TRUE
Sweet Pink Carnation,Fresh Flower,Buket anyelir pink yang lembut dan manis.,130000,https://www.flowerchimp.co.id/collections/bouquet?srsltid=AfmBOoq1X0jmPXWk2Fl0INylQ-SsVugBDyaRtAjizVucVQDZz3vAPjHY,TRUE
Elegant White Lily,Fresh Flower,Bunga lily putih elegan untuk momen spesial.,200000,https://outerbloom.com/products/forever-and-more?srsltid=AfmBOoq-U4qdkJsTAvzKf3pweKzr6DJUhcaHYin5u8e9j-CrjkGMi2f2,TRUE
Blue Ocean Hydrangea,Fresh Flower,Hydrangea biru menawan dengan hiasan baby breath.,180000,https://flowerhouse.co.id/products/alicia-bouquet?srsltid=AfmBOorb4XIJQ3r8d-dsS_SKlSLf6FXiI0UfaWAKiX6qJrTBQcdtOiOL,TRUE
Mix Pastel Tulip Buket,Fresh Flower,Tulip warna pastel import (PO).,350000,https://sevenrose.co.id/products/gold-pastel?srsltid=AfmBOorC4druN57V7dtT7cJp9UZ_TWxM5ti9lGv527uUJTD7AdjbGZ5Z,TRUE
Purple Aster & Daisy,Fresh Flower,Perpaduan bunga aster dan daisy ungu.,110000,https://kadoplus.com/product/standing-flower-bouquet-blast-of-blue/?srsltid=AfmBOornl-rqTouykGAb2tPZ-kjVK24S6c1qnoJ6dki0yXDk0MUtMEhm,TRUE
Artificial Rose Teddy Buket,Artificial Flower,Buket mawar palsu dengan boneka beruang mini.,85000,https://www.instagram.com/p/DXiduI0D4NH/,TRUE
Everlasting Peony Artificial,Artificial Flower,Peony buatan yang awet selamanya mirip asli.,95000,https://shopee.co.id/FRESH-ROSE-BOUQUET-20-STEM-BUKET-BUNGA-ASLI-BOUQUET-BUNGA-MAWAR-FRESH-KADO-WISUDA-BUCKET-ULANG-TAHUN-BUKET-GRADUATION-SIDANG-FLORIST-FLOWER-BOUQUET-HADIAH-ANNIVERSARY-i.367126390.15467750034,TRUE
Lavender Dream Artificial,Artificial Flower,Buket lavender buatan dengan aroma terapi.,75000,https://wildthingsbhm.com/products/wrapped-bouquet,TRUE
Money Bouquet 10 Lembar (Pecahan 50rb),Money Bouquet,Buket uang asli pecahan 50 ribu isi 10 lembar.,150000,https://labellarosaflowers.com/products/victoria-dried-flower-bouquet,TRUE
Money Bouquet 20 Lembar (Pecahan 100rb),Money Bouquet,Buket uang mewah pecahan 100 ribu isi 20 lembar.,250000,https://gulmahal.in/flowers/luxurious-rose-bouquet/?srsltid=AfmBOoo58t3HAJUNsf9KZnC_5YkJdPJsMnv_gZZ1Udsx0SbMd5bQfQdX,TRUE
Snack Buket Coklat Silverqueen,Snack Bouquet,Buket isi 5 bar Silverqueen ukuran sedang.,140000,https://sevenrose.co.id/products/soft-cream?srsltid=AfmBOorIVRcLyw9kfatyaqWQ563H5LT8lXDx-BV0csWUKhsIOEyT0Lbn,TRUE
Snack Buket Pocky Love,Snack Bouquet,Buket snack Pocky disusun bentuk hati.,125000,https://kadoplus.com/product/standing-flowers-congratulations/?srsltid=AfmBOopoaJ4iln__8NYv5IXYDvBr-HKQ6PZ-SpgXFaAmiSaM8g-ZX-7i,TRUE
Snack Buket Campur (Salty & Sweet),Snack Bouquet,Buket berisi campuran snack gurih dan manis.,90000,https://hyderabadgiftsdelivery.com/gift/kukatpally/367?srsltid=AfmBOor6jw6K6WMfUgsO6mu8xdzUbLDcCgysm2ndOUHGqG6dMTddJDOb,TRUE
Choco Bear Buket,Snack Bouquet,Buket coklat ferrero dengan boneka beruang.,210000,https://www.tokopedia.com/maypeony-flowers/fresh-rose-bouquet-30-stem-bouquet-bunga-mawar-asli-buket-bunga-buket-bunga-wisuda-buket-fresh-flower-florist-bucket-bunga-rose-asli-hadiah-wisuda-kado-ulang-tahun-flower-bouquet-ulang-tahun-putih-9b7b6,TRUE
Minimalist Single Rose,Fresh Flower,Satu tangkai mawar merah dengan wrap simpel.,35000,https://clarkiafloristry.com/product/jumbo-baby-girl-bouquet/,TRUE
Graduation Buket (Bunga + Topi Toga),Fresh Flower,Buket mix flower dengan aksesoris topi toga wisuda.,160000,https://www.blibli.com/p/buket-bouquet-bucket-bunga-kado-ulang-tahun-anniversary/ps--CAP-70166-00130,TRUE
Anniversary Mega Buket (100 Mawar),Fresh Flower,Buket raksasa berisi 100 mawar merah.,1200000,https://pinus.florist/hand-bouquet-jakarta/,TRUE
Cotton Flower Rustic Buket,Dried Flower,Buket bunga kapas kering tema rustic estetik.,115000,https://bungamonalisa.com/product/bunga-hand-buket-bucket-bouquet-hbll-4502/,TRUE
